time:25.334, x:157.979, y:0.008, z:0.548, h:-0.000
time:25.434, x:159.029, y:0.008, z:0.548, h:-0.000
time:25.534, x:160.077, y:0.008, z:0.549, h:-0.000
time:25.634, x:161.122, y:0.008, z:0.550, h:-0.000
time:25.734, x:162.166, y:0.008, z:0.550, h:-0.000
time:25.834, x:163.209, y:0.007, z:0.549, h:-0.000
time:25.934, x:164.269, y:0.007, z:0.550, h:-0.000
time:26.034, x:165.368, y:0.007, z:0.551, h:-0.000
time:26.134, x:166.513, y:0.006, z:0.552, h:-0.000
time:26.234, x:167.703, y:0.005, z:0.553, h:-0.000
time:26.334, x:168.933, y:0.005, z:0.553, h:-0.000
time:26.434, x:170.202, y:0.004, z:0.552, h:-0.000
time:26.534, x:171.506, y:0.004, z:0.552, h:-0.000
time:26.634, x:172.845, y:0.003, z:0.552, h:-0.000
time:26.734, x:174.218, y:0.003, z:0.552, h:-0.000
time:26.834, x:175.623, y:0.003, z:0.552, h:-0.000
time:26.934, x:177.060, y:0.002, z:0.552, h:-0.000
time:27.034, x:178.529, y:0.002, z:0.552, h:-0.000
time:27.134, x:180.029, y:0.001, z:0.552, h:-0.000
time:27.234, x:181.560, y:0.001, z:0.552, h:-0.000
time:27.334, x:183.121, y:0.001, z:0.552, h:-0.000
time:27.434, x:184.713, y:0.001, z:0.552, h:-0.000
time:27.534, x:186.335, y:0.000, z:0.552, h:-0.000
time:27.634, x:187.987, y:0.000, z:0.552, h:-0.000
time:27.734, x:189.668, y:-0.000, z:0.552, h:-0.000
time:27.834, x:191.377, y:-0.000, z:0.551, h:-0.000
time:27.934, x:193.105, y:-0.000, z:0.551, h:-0.000
time:28.034, x:194.844, y:-0.001, z:0.550, h:-0.000
time:28.134, x:196.584, y:-0.001, z:0.549, h:-0.000
time:28.234, x:198.313, y:-0.001, z:0.548, h:-0.000
time:28.334, x:200.030, y:-0.001, z:0.548, h:-0.000
time:28.434, x:201.735, y:-0.001, z:0.549, h:-0.000
time:28.534, x:203.429, y:-0.001, z:0.549, h:-0.000
time:28.634, x:205.110, y:-0.001, z:0.549, h:-0.000
time:28.734, x:206.772, y:-0.001, z:0.549, h:-0.000
time:28.834, x:208.403, y:-0.001, z:0.548, h:0.000
time:28.934, x:209.997, y:-0.001, z:0.548, h:0.000
time:29.034, x:211.552, y:-0.001, z:0.549, h:0.000
time:29.134, x:213.068, y:-0.001, z:0.549, h:0.000
time:29.234, x:214.546, y:-0.001, z:0.549, h:0.000
time:29.334, x:215.986, y:-0.001, z:0.549, h:0.000
time:29.434, x:217.389, y:-0.001, z:0.549, h:0.000
time:29.534, x:218.755, y:-0.000, z:0.549, h:0.000
time:29.634, x:220.085, y:-0.000, z:0.549, h:0.000
time:29.734, x:221.381, y:-0.000, z:0.549, h:-0.000
time:29.834, x:222.642, y:-0.000, z:0.549, h:-0.000
time:29.934, x:223.869, y:-0.000, z:0.549, h:-0.000
time:30.034, x:225.063, y:-0.000, z:0.549, h:-0.000
time:30.134, x:226.224, y:-0.000, z:0.549, h:-0.000
time:30.234, x:227.352, y:-0.000, z:0.549, h:-0.000
time:30.334, x:228.443, y:-0.000, z:0.549, h:-0.000
time:30.434, x:229.487, y:-0.000, z:0.549, h:-0.000
time:30.534, x:230.477, y:-0.000, z:0.549, h:-0.000
